"행정구역별",2019,2018,2017
"서울특별시",62.1,62.8,63.8
"종로구",61.7,56.4,63.7
"중구",58.0,64.5,58.7
"용산구",59.1,61.3,58.8
"성동구",63.2,67.5,67.5
"광진구",61.6,64.0,63.4
"동대문구",63.7,61.4,66.3
"중랑구",60.7,64.0,66.8
"성북구",63.3,66.8,66.1
"강북구",62.1,60.7,64.4
"도봉구",61.8,67.3,64.7
"노원구",57.3,58.0,59.5
"은평구",59.0,60.8,62.3
"서대문구",60.5,58.4,62.9
"마포구",66.7,59.0,64.1
"양천구",64.4,65.3,63.2
"강서구",61.5,60.7,60.2
"구로구",63.1,69.3,61.3
"금천구",60.6,57.5,62.5
"영등포구",64.5,54.4,69.0
"동작구",58.3,63.0,62.2
"관악구",60.0,63.2,62.7
"서초구",57.4,62.8,62.4
"강남구",64.4,65.2,65.3
"송파구",69.5,66.4,68.6
"강동구",60.7,62.5,62.9
"부산광역시",61.9,64.0,63.7
"중구",64.2,68.1,61.5
"서구",55.2,66.2,62.3
"동구",62.5,59.1,65.6
"영도구",60.5,63.4,64.4
"부산진구",60.4,63.9,64.6
"동래구",62.3,64.8,60.6
"남구",65.1,65.4,64.9
"북구",64.0,65.2,68.0
"해운대구",58.4,60.8,62.7
"사하구",62.5,62.9,62.5
"금정구",67.3,68.5,64.6
"강서구",63.4,60.1,64.1
"연제구",62.0,62.6,65.2
"수영구",56.8,59.8,62.6
"사상구",64.3,69.0,63.8
"기장군",58.1,63.1,58.7
"대구광역시",58.6,61.5,60.9
"중구",65.4,63.6,61.2
"동구",56.9,60.1,63.4
"서구",65.4,65.2,59.8
"남구",52.7,58.0,57.7
"북구",53.8,62.8,64.6
"수성구",56.9,58.1,54.3
"달서구",62.1,63.9,63.4
"달성군",59.1,61.3,59.4
"인천광역시",60.7,63.8,64.0
"중구",61.6,58.4,62.9
"동구",59.9,60.8,58.2
"미추홀구",62.6,62.9,64.2
"연수구",62.8,67.2,64.9
"남동구",59.1,66.9,69.5
"부평구",59.0,63.5,61.1
"계양구",63.2,66.3,63.9
"서구",59.9,61.2,63.1
"강화군",54.3,55.7,49.9
"옹진군",62.2,56.5,64.3
"광주광역시",61.1,60.3,61.6
"동구",60.7,59.9,59.7
"서구",65.1,61.8,65.1
