항목,성별구분,연령구분,2016년 환자수,2016년 내원일수,2017년 환자수,2017년 내원일수,2018년 환자수,2018년 내원일수,2019년 환자수,2019년 내원일수,2020년 환자수,2020년 내원일수
알코올중독증,전체,전체,"72,173","2,805,588","70,635","2,458,726","71,719","2,259,156","71,326","2,142,109","64,765","1,907,379"
알코올중독증,남,전체,"56,862","2,497,296","55,250","2,183,360","55,638","1,993,389","55,025","1,887,001","49,894","1,669,312"
알코올중독증,남,0_9세,7,10,6,6,3,4,10,18,9,10
알코올중독증,남,10_19세,"1,006","1,920","1,112","2,605","1,131","2,053","1,163","1,799",737,"1,134"
알코올중독증,남,20_29세,"2,871","25,489","3,099","26,742","3,388","26,493","3,565","28,645","3,132","27,915"
알코올중독증,남,30_39세,"6,351","166,393","6,237","152,750","6,294","132,180","6,460","122,294","6,011","98,368"
알코올중독증,남,40_49세,"13,125","472,980","12,190","382,431","11,973","335,415","11,382","300,849","10,572","249,546"
알코올중독증,남,50_59세,"17,417","767,363","16,483","637,148","16,427","559,466","15,908","525,203","14,156","433,717"
알코올중독증,남,60_69세,"11,487","676,990","11,556","622,475","11,711","583,304","11,868","560,754","10,998","517,484"
알코올중독증,남,70_79세,"5,227","341,213","5,234","315,457","5,325","310,103","5,264","301,799","4,917","289,351"
알코올중독증,남,80세이상,859,"44,938",863,"43,746",960,"44,371","1,054","45,640","1,003","51,787"
알코올중독증,여,전체,"15,311","308,292","15,385","275,366","16,081","265,767","16,301","255,108","14,871","238,067"
알코올중독증,여,0_9세,7,7,10,11,8,14,9,12,7,7
알코올중독증,여,10_19세,761,"1,273",856,"1,564",975,"1,818","1,051","1,876",602,906
알코올중독증,여,20_29세,"2,466","18,527","2,397","14,799","2,738","15,715","2,956","17,022","2,623","18,678"
알코올중독증,여,30_39세,"3,143","54,688","3,048","50,897","3,118","46,510","3,151","46,371","3,035","42,448"
알코올중독증,여,40_49세,"3,827","80,633","3,888","69,740","3,922","64,698","3,800","62,259","3,669","58,366"
알코올중독증,여,50_59세,"3,303","84,695","3,336","73,551","3,394","70,037","3,368","65,378","3,081","56,015"
알코올중독증,여,60_69세,"1,411","42,927","1,495","41,891","1,553","39,935","1,610","36,819","1,575","36,029"
알코올중독증,여,70_79세,540,"21,856",522,"19,770",581,"22,199",545,"22,374",504,"21,672"
알코올중독증,여,80세이상,154,"3,686",146,"3,143",162,"4,841",149,"2,997",138,"3,946"
