연도,20~29,30~39,40~49,50~59,60~69,70~79,80세 이상,전체
2005,0.3,3.7,18.2,27.2,26.3,19.7,13.1,9.6
2006,0.3,3.8,16.5,26.2,23.7,18.1,11.7,9.2
2007,0.3,3.3,18.4,25.2,24.5,17.4,11.9,9.6
2008,0.3,3.1,16.3,27.2,21.4,17.9,10.1,9.4
2009,0.2,3.1,15.1,23.5,22,16,10.9,8.9
2010,0.2,3.1,14.8,24.7,19.3,16.8,10.5,9.1
2011,0.2,2.9,13.1,23,20.6,18.2,10.9,9
2012,0.2,2.4,12.9,23.5,19.6,18.4,9.6,9
2013,0.2,2.6,12.4,21.6,19.5,17.1,11.7,8.9
2014,0.2,2.5,11.6,22.3,19.2,15.4,10.7,8.8
2015,0.2,2.3,12.4,22.6,20.2,16.4,10.3,9.3
2016,0.3,2.8,11.4,21.9,21.0,15.3,10.4,9.3
2017,0.3,2.7,11.8,22.8,19.1,14.8,9.7,9.4
2018,0.3,2.5,11.7,22.2,20.9,14.1,10.1,9.6
